policy_id,event_type,event_date,channel_override
173,renewal_offer,2023-06-13,In-Person
369,renewal_offer,2021-07-06,Online
56,contact_attempt,2021-06-13,Phone
628,endorsement,2023-09-03,In-Person
154,contact_attempt,2022-12-21,Online
804,claim,2021-10-29,In-Person
944,claim,2023-05-11,Online
243,renewal_offer,2022-02-05,Online
26,endorsement,2022-01-11,Phone
752,contact_attempt,2021-11-25,In-Person
939,contact_attempt,2021-04-23,Phone
440,endorsement,2023-03-07,Online
950,claim,2021-11-08,Online
188,claim,2021-11-27,Online
297,contact_attempt,2021-05-07,In-Person
50,renewal_offer,2023-05-25,Online
78,contact_attempt,2023-09-01,Phone
603,claim,2021-11-19,Phone
413,endorsement,2021-04-27,In-Person
451,renewal_offer,2023-08-14,Online
581,contact_attempt,2022-11-02,Online
333,contact_attempt,2023-05-28,Online
721,endorsement,2022-12-18,Phone
301,contact_attempt,2022-07-14,In-Person
592,endorsement,2021-06-10,Phone
738,contact_attempt,2022-12-16,Online
100,claim,2021-11-30,In-Person
768,contact_attempt,2022-03-16,Phone
591,renewal_offer,2022-01-05,Online
659,claim,2023-09-10,In-Person
278,claim,2021-11-13,Phone
162,claim,2021-02-07,Online
413,claim,2022-12-05,In-Person
10,renewal_offer,2022-12-28,Phone
274,contact_attempt,2023-03-26,Online
777,claim,2021-07-20,In-Person
623,endorsement,2022-10-10,Online
341,contact_attempt,2021-08-18,Online
538,contact_attempt,2022-07-06,In-Person
296,endorsement,2021-10-03,Online
856,renewal_offer,2022-03-17,In-Person
774,contact_attempt,2023-04-14,In-Person
635,renewal_offer,2021-06-16,In-Person
57,claim,2021-02-24,Phone
839,claim,2023-06-01,Online
802,contact_attempt,2022-08-19,Online
683,claim,2022-07-01,Online
739,renewal_offer,2021-02-08,In-Person
103,endorsement,2023-02-22,In-Person
285,endorsement,2021-07-19,In-Person
139,endorsement,2022-02-18,Phone
170,claim,2023-07-07,Phone
878,contact_attempt,2022-07-27,Online
997,renewal_offer,2023-06-25,Online
605,claim,2022-11-20,In-Person
775,claim,2023-02-25,Online
308,contact_attempt,2022-02-13,In-Person
14,claim,2023-01-10,Online
399,renewal_offer,2021-10-12,In-Person
70,contact_attempt,2021-06-29,Online
945,endorsement,2022-02-04,Phone
851,renewal_offer,2022-10-29,Online
547,renewal_offer,2023-03-17,Online
301,claim,2023-07-08,Phone
123,contact_attempt,2021-07-10,Phone
283,renewal_offer,2022-04-02,Online
562,claim,2021-01-20,Phone
132,contact_attempt,2021-04-29,Phone
418,contact_attempt,2021-05-18,Phone
95,renewal_offer,2021-01-21,In-Person
930,claim,2021-10-16,In-Person
987,renewal_offer,2022-08-31,Phone
435,renewal_offer,2021-11-09,In-Person
679,contact_attempt,2023-05-02,Phone
187,contact_attempt,2023-01-28,Online
334,claim,2022-02-12,Online
638,contact_attempt,2021-09-30,Online
536,renewal_offer,2021-04-07,Online
74,endorsement,2021-09-22,Online
484,claim,2021-06-30,Phone
829,claim,2021-06-11,Phone
302,renewal_offer,2023-04-07,Online
686,contact_attempt,2022-10-06,Phone
914,endorsement,2021-12-01,Online
715,claim,2023-06-17,In-Person
90,claim,2022-03-19,Phone
369,contact_attempt,2023-09-13,Online
583,contact_attempt,2022-08-28,Online
890,contact_attempt,2023-04-16,Phone
250,endorsement,2023-01-02,Online
367,contact_attempt,2022-01-18,Phone
641,renewal_offer,2021-09-29,In-Person
304,contact_attempt,2023-09-08,Phone
738,contact_attempt,2022-03-15,Phone
473,claim,2023-01-11,In-Person
998,renewal_offer,2021-06-12,In-Person
864,endorsement,2023-07-21,In-Person
880,endorsement,2021-03-04,Online
297,contact_attempt,2022-09-12,In-Person
102,endorsement,2021-07-11,Phone
561,claim,2021-06-21,Online
452,claim,2022-03-29,Online
753,renewal_offer,2021-04-16,In-Person
296,endorsement,2022-08-26,In-Person
69,renewal_offer,2021-02-23,In-Person
40,renewal_offer,2022-02-17,Online
775,endorsement,2021-01-17,In-Person
51,contact_attempt,2022-06-25,In-Person
101,renewal_offer,2021-06-05,In-Person
944,contact_attempt,2021-04-21,In-Person
858,claim,2022-05-10,In-Person
524,renewal_offer,2023-02-21,Online
136,endorsement,2023-04-03,Online
30,contact_attempt,2022-11-09,Phone
952,claim,2022-05-03,Phone
943,claim,2023-07-25,Phone
14,contact_attempt,2021-01-14,Online
196,claim,2021-05-22,In-Person
104,endorsement,2022-03-13,In-Person
20,renewal_offer,2021-11-24,In-Person
658,endorsement,2021-09-17,Phone
937,renewal_offer,2021-06-09,Online
138,claim,2022-08-25,Phone
713,contact_attempt,2021-03-18,Phone
721,endorsement,2021-03-09,Phone
845,claim,2023-03-22,In-Person
985,renewal_offer,2021-01-06,In-Person
74,renewal_offer,2023-08-04,In-Person
873,renewal_offer,2023-09-23,Phone
902,endorsement,2023-08-27,Phone
254,contact_attempt,2023-06-04,Online
890,contact_attempt,2021-06-20,In-Person
320,contact_attempt,2021-08-17,Phone
500,endorsement,2021-03-16,Online
549,contact_attempt,2021-10-25,Phone
47,claim,2021-11-01,Phone
473,endorsement,2021-10-04,Phone
632,claim,2021-10-21,Online
660,renewal_offer,2021-07-04,Online
320,renewal_offer,2022-02-26,Online
84,renewal_offer,2022-10-08,In-Person
248,contact_attempt,2021-08-11,Online
442,endorsement,2022-04-30,In-Person
520,claim,2022-06-17,Phone
484,renewal_offer,2022-11-05,In-Person
296,endorsement,2023-03-04,Online
452,claim,2021-09-12,In-Person
593,endorsement,2023-07-10,Online
742,contact_attempt,2021-11-16,Phone
395,contact_attempt,2022-03-14,Online
209,endorsement,2021-08-23,Online
475,endorsement,2021-09-28,In-Person
807,renewal_offer,2023-08-25,Online
844,contact_attempt,2023-07-04,Online
83,renewal_offer,2023-03-18,In-Person
740,endorsement,2023-02-08,In-Person
217,claim,2022-02-01,Online
178,claim,2021-11-02,Online
371,endorsement,2022-05-14,In-Person
597,endorsement,2023-02-28,Phone
464,renewal_offer,2021-05-20,In-Person
266,renewal_offer,2023-01-03,In-Person
647,contact_attempt,2022-01-16,Online
899,endorsement,2022-06-29,In-Person
984,renewal_offer,2021-09-15,In-Person
574,renewal_offer,2023-01-25,Phone
436,contact_attempt,2023-03-03,Online
840,endorsement,2023-06-22,Online
452,contact_attempt,2021-01-04,Phone
372,claim,2022-05-26,In-Person
212,claim,2022-09-05,Phone
366,contact_attempt,2023-06-14,In-Person
552,claim,2021-02-21,In-Person
911,claim,2022-11-04,Phone
134,claim,2022-04-28,Online
532,claim,2022-01-14,Online
367,contact_attempt,2023-01-12,In-Person
376,endorsement,2022-11-19,Online
745,contact_attempt,2023-08-05,Phone
195,contact_attempt,2021-12-23,Phone
754,endorsement,2021-12-27,Phone
683,claim,2023-08-22,Phone
974,renewal_offer,2022-11-10,Phone
409,claim,2023-03-05,Online
545,renewal_offer,2021-01-09,In-Person
615,contact_attempt,2022-04-10,Phone
326,contact_attempt,2022-06-23,In-Person
812,contact_attempt,2021-12-13,In-Person
952,endorsement,2023-01-30,Phone
28,endorsement,2022-06-07,In-Person
619,endorsement,2021-05-27,Online
1,renewal_offer,2022-10-25,In-Person
274,endorsement,2022-02-19,In-Person
123,endorsement,2023-07-19,Phone
873,endorsement,2022-03-04,Online
359,claim,2021-05-24,Phone
592,renewal_offer,2022-02-09,Phone
411,contact_attempt,2023-03-16,Online
591,contact_attempt,2022-09-10,Phone
409,endorsement,2021-04-22,In-Person
707,endorsement,2023-05-21,Online
90,contact_attempt,2023-09-09,Online
777,renewal_offer,2023-05-16,Phone
951,renewal_offer,2022-09-14,Online
191,claim,2022-08-30,Phone
461,contact_attempt,2021-12-31,In-Person
604,endorsement,2021-12-05,Phone
529,endorsement,2023-01-16,Phone
883,endorsement,2023-01-19,Online
532,contact_attempt,2022-08-04,Online
55,renewal_offer,2023-01-27,Phone
185,renewal_offer,2022-10-01,In-Person
891,contact_attempt,2021-12-24,Phone
633,renewal_offer,2022-01-06,In-Person
881,endorsement,2022-02-23,Phone
380,endorsement,2022-10-03,Online
233,claim,2022-01-17,In-Person
191,contact_attempt,2022-02-21,Phone
138,endorsement,2023-05-03,In-Person
141,renewal_offer,2021-09-21,In-Person
950,contact_attempt,2023-02-17,Phone
975,claim,2022-04-15,In-Person
960,claim,2022-04-12,Phone
850,contact_attempt,2022-07-04,Phone
241,renewal_offer,2022-03-06,In-Person
773,contact_attempt,2022-03-12,Phone
408,contact_attempt,2022-10-27,Online
360,renewal_offer,2022-10-31,In-Person
59,contact_attempt,2021-09-11,Online
418,contact_attempt,2022-10-18,Online
774,endorsement,2021-12-21,Online
92,claim,2022-09-18,Online
526,claim,2023-01-05,Online
317,renewal_offer,2021-01-23,Online
982,claim,2021-10-06,Phone
685,renewal_offer,2022-09-16,Phone
548,renewal_offer,2022-09-21,In-Person
79,renewal_offer,2021-06-26,Online
19,contact_attempt,2023-05-31,Phone
942,claim,2021-12-07,Online
57,endorsement,2021-05-23,In-Person
888,endorsement,2023-07-05,Phone
56,endorsement,2021-07-22,Phone
336,endorsement,2021-08-26,Phone
446,endorsement,2021-05-16,Online
747,renewal_offer,2021-03-20,Online
944,endorsement,2023-05-06,Phone
63,renewal_offer,2021-01-10,Online
529,contact_attempt,2022-03-24,In-Person
363,endorsement,2021-08-14,Phone
805,claim,2021-10-19,Phone
221,claim,2023-05-14,Online
695,claim,2022-02-08,Online
321,endorsement,2022-10-17,In-Person
875,endorsement,2022-03-28,Phone
607,claim,2021-06-07,In-Person
41,claim,2022-12-22,In-Person
617,endorsement,2022-05-04,Phone
430,claim,2022-04-23,In-Person
907,contact_attempt,2021-04-11,Phone
761,endorsement,2021-12-29,Online
665,endorsement,2022-07-19,Phone
147,endorsement,2023-01-23,Online
290,contact_attempt,2023-05-01,Online
298,contact_attempt,2022-01-09,Online
775,claim,2022-04-19,In-Person
996,claim,2021-08-30,In-Person
698,claim,2023-03-19,Online
512,contact_attempt,2022-06-30,In-Person
750,claim,2021-08-07,In-Person
451,claim,2022-06-10,Phone
375,claim,2023-09-14,Phone
624,renewal_offer,2023-03-24,Online
337,renewal_offer,2023-07-15,Phone
671,claim,2022-02-02,Online
254,contact_attempt,2023-08-31,In-Person
627,claim,2021-12-15,In-Person
573,contact_attempt,2023-01-21,Online
111,renewal_offer,2021-04-30,In-Person
755,renewal_offer,2021-11-11,Phone
320,claim,2021-05-31,Phone
338,renewal_offer,2022-07-29,Online
288,claim,2023-05-04,Phone
700,claim,2022-04-18,Phone
505,contact_attempt,2023-08-24,In-Person
662,contact_attempt,2022-07-30,Online
737,renewal_offer,2022-11-30,Online
446,renewal_offer,2022-05-20,In-Person
88,endorsement,2021-03-25,Online
498,claim,2022-07-22,In-Person
190,claim,2021-10-15,Online
636,renewal_offer,2022-01-25,Online
925,contact_attempt,2022-11-06,Online
732,contact_attempt,2021-09-06,In-Person
780,renewal_offer,2021-03-05,In-Person
842,renewal_offer,2022-09-03,In-Person
900,renewal_offer,2022-07-16,Phone
721,endorsement,2023-07-14,Online
948,renewal_offer,2023-02-10,Phone
842,renewal_offer,2022-06-09,Phone
916,claim,2023-08-13,Online
68,endorsement,2021-03-01,In-Person
801,renewal_offer,2021-05-25,Online
369,claim,2021-06-23,Phone
74,renewal_offer,2022-02-14,In-Person
107,claim,2022-06-20,Online
745,renewal_offer,2022-11-28,Online
783,claim,2021-12-03,Online
58,contact_attempt,2021-08-15,Online
230,endorsement,2023-05-13,In-Person
304,claim,2021-10-20,In-Person
828,contact_attempt,2022-10-28,In-Person
217,contact_attempt,2022-01-20,In-Person
661,renewal_offer,2022-12-26,In-Person
354,claim,2022-02-16,In-Person
853,renewal_offer,2022-12-08,Phone
729,renewal_offer,2021-08-24,Phone
999,renewal_offer,2022-08-11,In-Person
520,renewal_offer,2021-05-06,In-Person
461,contact_attempt,2021-07-23,In-Person
511,contact_attempt,2022-02-22,Phone
139,claim,2021-07-08,In-Person
457,contact_attempt,2022-07-15,In-Person
500,claim,2023-07-17,Phone
514,endorsement,2021-05-21,In-Person
989,endorsement,2021-01-01,Online
755,contact_attempt,2021-02-10,Phone
93,endorsement,2023-08-19,Phone
39,renewal_offer,2021-10-26,Phone
465,contact_attempt,2022-05-02,Phone
157,endorsement,2022-11-08,Phone
879,claim,2022-03-07,Phone
70,renewal_offer,2023-08-03,Phone
802,endorsement,2023-05-19,Phone
325,endorsement,2021-10-09,Phone
551,claim,2021-03-07,In-Person
637,renewal_offer,2023-07-27,Online
876,claim,2022-02-15,Online
559,claim,2021-03-30,Online
779,renewal_offer,2022-05-09,In-Person
256,claim,2021-01-29,Online
416,renewal_offer,2022-11-07,Phone
661,endorsement,2023-03-23,In-Person
748,contact_attempt,2022-01-10,In-Person
477,endorsement,2022-11-16,Phone
776,claim,2021-05-30,In-Person
797,endorsement,2023-05-24,Phone
791,endorsement,2021-02-22,Phone
907,endorsement,2022-05-01,In-Person
134,renewal_offer,2023-05-30,In-Person
757,claim,2021-06-15,Phone
894,renewal_offer,2022-11-25,Online
447,contact_attempt,2022-08-09,Phone
79,claim,2022-06-24,Phone
323,renewal_offer,2021-04-04,Phone
736,claim,2022-08-08,In-Person
853,endorsement,2021-05-02,Online
7,renewal_offer,2021-04-10,In-Person
75,renewal_offer,2021-12-04,Online
301,renewal_offer,2021-10-18,Online
115,endorsement,2021-03-22,In-Person
889,claim,2021-09-14,Online
901,claim,2022-01-02,In-Person
836,endorsement,2023-07-20,Online
749,claim,2023-02-06,Phone
253,renewal_offer,2021-09-13,In-Person
624,renewal_offer,2021-12-19,Phone
196,contact_attempt,2021-01-25,Phone
93,claim,2023-01-18,In-Person
337,contact_attempt,2023-05-15,In-Person
336,contact_attempt,2022-06-11,In-Person
636,claim,2022-08-17,In-Person
916,claim,2022-10-24,In-Person
584,endorsement,2022-11-29,In-Person
587,renewal_offer,2021-02-04,Online
827,claim,2021-10-17,In-Person
452,renewal_offer,2023-04-30,In-Person
124,contact_attempt,2023-01-09,Online
37,contact_attempt,2021-07-01,Phone
273,contact_attempt,2021-04-03,In-Person
891,endorsement,2022-06-27,Phone
754,claim,2021-05-01,Online
973,renewal_offer,2022-10-07,Phone
542,renewal_offer,2023-07-29,Phone
365,contact_attempt,2023-05-17,In-Person
678,claim,2022-08-24,Phone
177,contact_attempt,2021-03-23,Online
479,renewal_offer,2023-04-27,Phone
863,endorsement,2022-01-08,In-Person
363,renewal_offer,2021-10-07,In-Person
458,contact_attempt,2022-04-21,Phone
463,endorsement,2021-07-07,Online
784,renewal_offer,2022-09-06,In-Person
200,endorsement,2021-08-20,Online
871,contact_attempt,2021-12-08,In-Person
215,claim,2022-05-16,Phone
427,claim,2021-03-24,Online
787,claim,2022-05-31,In-Person
24,renewal_offer,2023-04-26,Online
209,endorsement,2023-05-29,Online
949,endorsement,2022-05-21,Online
703,claim,2023-09-25,Phone
825,endorsement,2021-08-05,Phone
263,claim,2022-07-09,Phone
683,endorsement,2022-09-30,Online
690,renewal_offer,2022-03-05,Phone
109,endorsement,2021-09-10,In-Person
697,endorsement,2022-12-09,Phone
702,renewal_offer,2023-08-08,Online
188,endorsement,2022-01-13,In-Person
634,contact_attempt,2021-05-11,In-Person
599,contact_attempt,2021-01-18,In-Person
415,claim,2023-03-20,Online
799,renewal_offer,2023-02-14,Online
172,claim,2022-03-02,Online
743,renewal_offer,2021-02-09,Phone
779,renewal_offer,2021-12-14,Online
626,contact_attempt,2022-08-13,In-Person
511,endorsement,2022-04-29,Online
310,claim,2023-09-22,In-Person
962,renewal_offer,2021-12-17,Online
360,renewal_offer,2022-03-09,In-Person
86,renewal_offer,2023-08-09,In-Person
567,renewal_offer,2022-11-15,In-Person
686,claim,2022-12-19,In-Person
605,renewal_offer,2022-04-09,Phone
456,claim,2023-08-17,Phone
235,renewal_offer,2021-04-15,Phone
854,endorsement,2021-02-25,Online
33,contact_attempt,2023-02-12,In-Person
79,renewal_offer,2021-03-27,Online
746,contact_attempt,2021-06-01,In-Person
729,endorsement,2022-09-13,In-Person
179,endorsement,2021-01-07,Phone
11,contact_attempt,2022-03-23,Phone
428,endorsement,2022-05-24,Online
9,renewal_offer,2021-05-13,Online
697,endorsement,2021-01-11,Phone
141,renewal_offer,2021-01-15,In-Person
499,renewal_offer,2022-06-13,In-Person
187,contact_attempt,2022-08-05,Online
539,claim,2021-03-08,Online
6,renewal_offer,2023-05-12,Online
509,renewal_offer,2022-03-20,Phone
820,endorsement,2021-07-12,Online
963,renewal_offer,2022-05-25,In-Person
666,contact_attempt,2022-08-12,In-Person
92,renewal_offer,2022-06-26,Phone
549,contact_attempt,2021-04-17,In-Person
876,contact_attempt,2022-07-08,In-Person
628,endorsement,2022-08-10,In-Person
56,renewal_offer,2022-10-04,Online
117,contact_attempt,2023-04-22,In-Person
186,contact_attempt,2023-07-31,In-Person
246,endorsement,2021-11-26,In-Person
438,endorsement,2021-09-24,Phone
163,endorsement,2022-11-24,In-Person
750,contact_attempt,2023-02-09,Online
112,renewal_offer,2022-06-21,In-Person
894,endorsement,2021-01-16,In-Person
31,claim,2022-08-27,Online
634,endorsement,2021-12-12,Phone
512,claim,2021-05-08,In-Person
747,endorsement,2022-08-16,Phone
77,renewal_offer,2021-03-29,In-Person
193,claim,2021-11-03,In-Person
916,renewal_offer,2021-06-22,Phone
579,claim,2021-10-14,Online
845,renewal_offer,2021-05-12,Phone
543,endorsement,2021-10-01,In-Person
24,renewal_offer,2022-06-01,Phone
706,renewal_offer,2021-03-03,In-Person
839,endorsement,2021-05-10,In-Person
14,renewal_offer,2021-01-22,Phone
409,contact_attempt,2022-01-28,In-Person
786,endorsement,2023-04-06,Phone
310,contact_attempt,2021-03-02,Online
50,endorsement,2023-07-13,In-Person
808,renewal_offer,2021-11-07,Online
948,claim,2022-07-23,Phone
915,renewal_offer,2021-12-26,In-Person
627,contact_attempt,2023-06-10,Online
541,endorsement,2023-02-16,Phone
78,claim,2022-05-29,In-Person
988,claim,2023-08-20,Phone
503,contact_attempt,2023-05-26,Phone
173,renewal_offer,2022-02-03,In-Person
779,contact_attempt,2022-03-22,Phone
356,renewal_offer,2021-11-15,Online
835,contact_attempt,2022-10-05,Phone
320,renewal_offer,2023-09-21,In-Person
204,renewal_offer,2021-03-31,Phone
729,renewal_offer,2021-01-28,In-Person
297,claim,2023-07-18,Online
243,endorsement,2021-06-25,Phone
382,claim,2021-11-06,In-Person
148,contact_attempt,2022-09-29,In-Person
376,contact_attempt,2021-08-06,Online
149,claim,2022-04-24,Phone
